,,Data,Matéria,Estimado,Concluido,Estudado,Next
,,,Noções de Direito Constitucional,00:45,00:45,"1. Direitos e deveres fundamentais: direitos e deveres individuais e coletivos; direito à vida, à liberdade, à igualdade, à segurança e à propriedade; direitos sociais; nacionalidade; cidadania e direitos políticos; partidos políticos; garantias constitucionais individuais; garantias dos direitos coletivos, sociais e políticos.",PDF Aula2_DC(direitos sociais e nacionalidade) 
,,,Noções de Direito Processual Penal,01:00,01:00,Revisão de Prisão cautelar,4. Prova (artigos 158 a 184 do CPP).
,,,Noções de Direito Penal,01:00,01:00,Mapas dos crimes contra a pessoa,Mapas dos crimes contra o patrimônio
70,39,17/05/2020,Noções de Legislação Penal Especial,02:00,02:00,4. Abuso de Autoridade (Lei nº 13.869/2019).,13.  investigação criminal conduzida pelo delegado de polícia. (Lei nº 12.830/2013;)
,,,Língua Portuguesa,01:30,01:30,Conjunções,Verbo
,,,Informática,01:30,01:30,Revisão de email,Ler PDF Intranet web
,,,Raciocínio Lógico,01:00,01:00,Preparação turbo,Preparação turbo
69,40,18/05/2020,Noções de Direito Administrativo,01:30,01:30,"3. Agentes públicos: espécies e classificação; poderes, deveres e prerrogativas; cargo, emprego e função públicos;regime jurídico único: provimento, vacância, remoção, redistribuição e substituição; direitos e vantagens; regimedisciplinar; responsabilidade civil, criminal e administrativa.",4 encontro aula 1
,,,Noções de Direito Constitucional,01:30,01:30,"1. Direitos e deveres fundamentais: direitos e deveres individuais e coletivos; direito à vida, à liberdade, à igualdade, à segurança e à propriedade; direitos sociais; nacionalidade; cidadania e direitos políticos; partidos políticos; garantias constitucionais individuais; garantias dos direitos coletivos, sociais e políticos.",5 encontro aula 1
,,,Noções de Direito Processual Penal,01:30,01:30,4. Prova (artigos 158 a 184 do CPP).,Revisão de jurisdição e competencia (45 minutos)
,,,Noções de Direito Penal,01:30,01:30,Revisão de tudo até crimes contra o patrimônio,Mapa de crimes contra o patrimônio(45 minutos)
68,41,19/05/2020,Raciocínio Lógico,01:30,01:30,,
,,,Noções de Direito Administrativo,01:30,01:30,,
,,,Língua Portuguesa,00:30,00:30,,
67,42,20/05/2020,Língua Portuguesa,01:30,01:30,,
,,,Raciocínio Lógico,00:45,00:45,Regra de 3,Raciocinio logico 
,,,Língua Portuguesa,01:00,01:00,Verbo,8º encontro
,,,Informática,00:45,00:45,Questões,Questões
,,,Noções de Legislação Penal Especial,01:30,01:00,,
66,43,21/05/2020,Noções de Direito Penal,01:00,01:00,,Mapa de crimes contra o patrimônio(45 minutos)
,,,Noções de Direito Administrativo,01:30,01:30,Estatuto dos servidos do paraná,Estatuto dos servidos do paraná
,,,Noções de Direito Constitucional,01:30,02:30,"Direitos sociais, de nacionalidade, trabalhadores, políticos","Mapas Direitos sociais, de nacionalidade, trabalhadores, políticos + Ler art 6,7,8,9"
65,44,22/05/2020,Raciocínio Lógico,00:45,00:45,Raciocinio logico ,
,,,Informática,01:00,01:00,Mapas e questões,Navegadores
,,,Língua Portuguesa,01:30,01:30,8º encontro,PDF Concordância
,,,Noções de Legislação Penal Especial,01:30,01:30,Lei de abuso de autoridade,PDF Lei de abuso de autoridade
,,,Informática,00:45,00:45,Navegadores, Mapa de navegadores + Exercícios
64,45,23/05/2020,Noções de Direito Administrativo,01:30,01:30,Lei 8112,6 encontro aula 2 + Ler 6174
